area_code,drug_type,level,episodes,dimension
401021004,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401021004,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401021004,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
401021004,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,3,Sex
401021005,Alcohol,Females,13,Sex
401021005,Alcohol,Males,14,Sex
401021005,All drug-related,Females,23,Sex
401021005,All drug-related,Males,38,Sex
401021005,Cannabinoids,Females,1,Sex
401021005,Cannabinoids,Males,5,Sex
401021005,Hallucinogens,Females,1,Sex
401021005,Hallucinogens,Males,1,Sex
401021005,Inhalants,Males,1,Sex
401021005,Multiple drug use,Males,4,Sex
401021005,Non-opioid analgesic and antirheumatic,Females,2,Sex
401021005,Opioid,Females,1,Sex
401021005,Opioid,Males,6,Sex
401021005,Other,Females,1,Sex
401021005,Psychostimulants,Females,1,Sex
401021005,Psychostimulants,Males,6,Sex
401021005,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
401021005,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401021005,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,1,Sex
401021006,Alcohol,Females,18,Sex
401021006,Alcohol,Males,35,Sex
401021006,All drug-related,Females,45,Sex
401021006,All drug-related,Males,74,Sex
401021006,Analeptics and opioid receptor antagonists,Males,1,Sex
401021006,Cannabinoids,Females,2,Sex
401021006,Cannabinoids,Males,8,Sex
401021006,Multiple drug use,Females,6,Sex
401021006,Multiple drug use,Males,7,Sex
401021006,Non-opioid analgesic and antirheumatic,Females,1,Sex
401021006,Non-opioid analgesic and antirheumatic,Males,3,Sex
401021006,Opioid,Females,3,Sex
401021006,Opioid,Males,5,Sex
401021006,Other,Males,2,Sex
401021006,Psychostimulants,Females,7,Sex
401021006,Psychostimulants,Males,7,Sex
401021006,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,5,Sex
401021006,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,4,Sex
401021006,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,3,Sex
401021006,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,1,Sex
401021006,Steroids or hormones,Males,1,Sex
401021007,Alcohol,Females,25,Sex
401021007,Alcohol,Males,33,Sex
401021007,All drug-related,Females,49,Sex
401021007,All drug-related,Males,71,Sex
401021007,Cannabinoids,Females,3,Sex
401021007,Cannabinoids,Males,9,Sex
401021007,Hallucinogens,Females,1,Sex
401021007,Multiple drug use,Females,4,Sex
401021007,Multiple drug use,Males,4,Sex
401021007,Non-opioid analgesic and antirheumatic,Males,2,Sex
401021007,Opioid,Females,2,Sex
401021007,Opioid,Males,6,Sex
401021007,Other,Females,1,Sex
401021007,Other,Males,2,Sex
401021007,Psychostimulants,Females,6,Sex
401021007,Psychostimulants,Males,7,Sex
401021007,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,3,Sex
401021007,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,5,Sex
401021007,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,4,Sex
401021007,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,3,Sex
401021008,Alcohol,Females,8,Sex
401021008,Alcohol,Males,12,Sex
401021008,All drug-related,Females,16,Sex
401021008,All drug-related,Males,28,Sex
401021008,Cannabinoids,Females,4,Sex
401021008,Hallucinogens,Males,1,Sex
401021008,Multiple drug use,Females,1,Sex
401021008,Multiple drug use,Males,4,Sex
401021008,Non-opioid analgesic and antirheumatic,Males,1,Sex
401021008,Opioid,Females,1,Sex
401021008,Opioid,Males,2,Sex
401021008,Psychostimulants,Females,1,Sex
401021008,Psychostimulants,Males,6,Sex
401021008,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
401021008,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401021008,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,1,Sex
401021009,Alcohol,Females,20,Sex
401021009,Alcohol,Males,26,Sex
401021009,All drug-related,Females,53,Sex
401021009,All drug-related,Males,63,Sex
401021009,Anaesthetics,Females,1,Sex
401021009,Analeptics and opioid receptor antagonists,Males,1,Sex
401021009,Cannabinoids,Females,2,Sex
401021009,Cannabinoids,Males,9,Sex
401021009,Hallucinogens,Males,2,Sex
401021009,Multiple drug use,Females,3,Sex
401021009,Multiple drug use,Males,5,Sex
401021009,Non-opioid analgesic and antirheumatic,Females,1,Sex
401021009,Non-opioid analgesic and antirheumatic,Males,2,Sex
401021009,Opioid,Females,7,Sex
401021009,Opioid,Males,4,Sex
401021009,Other,Females,2,Sex
401021009,Psychostimulants,Females,10,Sex
401021009,Psychostimulants,Males,6,Sex
401021009,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,4,Sex
401021009,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
401021009,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,3,Sex
401021009,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,5,Sex
401021010,Alcohol,Females,11,Sex
401021010,Alcohol,Males,11,Sex
401021010,All drug-related,Females,26,Sex
401021010,All drug-related,Males,32,Sex
401021010,Androgens and anabolic congeners,Females,1,Sex
401021010,Cannabinoids,Females,3,Sex
401021010,Cannabinoids,Males,3,Sex
401021010,Hallucinogens,Females,1,Sex
401021010,Multiple drug use,Females,1,Sex
401021010,Multiple drug use,Males,3,Sex
401021010,Opioid,Females,2,Sex
401021010,Opioid,Males,5,Sex
401021010,Other,Males,1,Sex
401021010,Psychostimulants,Females,4,Sex
401021010,Psychostimulants,Males,1,Sex
401021010,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401021010,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,2,Sex
401021010,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
401021010,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,6,Sex
401031011,Alcohol,Females,19,Sex
401031011,Alcohol,Males,42,Sex
401031011,All drug-related,Females,48,Sex
401031011,All drug-related,Males,93,Sex
401031011,Cannabinoids,Females,5,Sex
401031011,Cannabinoids,Males,11,Sex
401031011,Inhalants,Males,2,Sex
401031011,Multiple drug use,Females,3,Sex
401031011,Multiple drug use,Males,6,Sex
401031011,Non-opioid analgesic and antirheumatic,Females,1,Sex
401031011,Non-opioid analgesic and antirheumatic,Males,2,Sex
401031011,Opioid,Females,6,Sex
401031011,Opioid,Males,4,Sex
401031011,Other,Males,2,Sex
401031011,Psychostimulants,Females,9,Sex
401031011,Psychostimulants,Males,14,Sex
401031011,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401031011,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,5,Sex
401031011,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,3,Sex
401031011,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,5,Sex
401031012,Alcohol,Females,17,Sex
401031012,Alcohol,Males,40,Sex
401031012,All drug-related,Females,43,Sex
401031012,All drug-related,Males,80,Sex
401031012,Anaesthetics,Females,1,Sex
401031012,Anaesthetics,Males,2,Sex
401031012,Cannabinoids,Females,3,Sex
401031012,Cannabinoids,Males,4,Sex
401031012,Hallucinogens,Males,2,Sex
401031012,Inhalants,Males,1,Sex
401031012,Multiple drug use,Females,2,Sex
401031012,Multiple drug use,Males,4,Sex
401031012,Non-opioid analgesic and antirheumatic,Females,2,Sex
401031012,Non-opioid analgesic and antirheumatic,Males,4,Sex
401031012,Opioid,Females,3,Sex
401031012,Opioid,Males,5,Sex
401031012,Other,Males,1,Sex
401031012,Psychostimulants,Females,7,Sex
401031012,Psychostimulants,Males,11,Sex
401031012,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401031012,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,2,Sex
401031012,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,6,Sex
401031012,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,4,Sex
401031013,Alcohol,Females,23,Sex
401031013,Alcohol,Males,29,Sex
401031013,All drug-related,Females,42,Sex
401031013,All drug-related,Males,59,Sex
401031013,Anaesthetics,Males,2,Sex
401031013,Cannabinoids,Females,1,Sex
401031013,Cannabinoids,Males,4,Sex
401031013,Hallucinogens,Females,1,Sex
401031013,Hallucinogens,Males,1,Sex
401031013,Inhalants,Males,1,Sex
401031013,Multiple drug use,Females,1,Sex
401031013,Multiple drug use,Males,4,Sex
401031013,Non-opioid analgesic and antirheumatic,Males,2,Sex
401031013,Opioid,Females,5,Sex
401031013,Opioid,Males,2,Sex
401031013,Psychostimulants,Females,5,Sex
401031013,Psychostimulants,Males,9,Sex
401031013,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401031013,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,6,Sex
401031013,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,4,Sex
401041014,Alcohol,Females,27,Sex
401041014,Alcohol,Males,32,Sex
401041014,All drug-related,Females,48,Sex
401041014,All drug-related,Males,76,Sex
401041014,Cannabinoids,Females,3,Sex
401041014,Cannabinoids,Males,7,Sex
401041014,Inhalants,Males,1,Sex
401041014,Multiple drug use,Females,3,Sex
401041014,Multiple drug use,Males,7,Sex
401041014,Non-opioid analgesic and antirheumatic,Females,2,Sex
401041014,Opioid,Females,4,Sex
401041014,Opioid,Males,10,Sex
401041014,Psychostimulants,Females,6,Sex
401041014,Psychostimulants,Males,11,Sex
401041014,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
401041014,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401041014,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401041014,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,7,Sex
401041015,Alcohol,Females,16,Sex
401041015,Alcohol,Males,23,Sex
401041015,All drug-related,Females,38,Sex
401041015,All drug-related,Males,55,Sex
401041015,Cannabinoids,Females,7,Sex
401041015,Cannabinoids,Males,5,Sex
401041015,Inhalants,Males,1,Sex
401041015,Multiple drug use,Males,6,Sex
401041015,Non-opioid analgesic and antirheumatic,Females,1,Sex
401041015,Non-opioid analgesic and antirheumatic,Males,2,Sex
401041015,Opioid,Females,2,Sex
401041015,Opioid,Males,4,Sex
401041015,Other,Females,1,Sex
401041015,Other,Males,2,Sex
401041015,Psychostimulants,Females,4,Sex
401041015,Psychostimulants,Males,4,Sex
401041015,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401041015,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,5,Sex
401041015,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,5,Sex
401041015,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,3,Sex
401041016,Alcohol,Females,23,Sex
401041016,Alcohol,Males,41,Sex
401041016,All drug-related,Females,53,Sex
401041016,All drug-related,Males,78,Sex
401041016,Cannabinoids,Females,4,Sex
401041016,Cannabinoids,Males,7,Sex
401041016,Hallucinogens,Males,3,Sex
401041016,Multiple drug use,Females,2,Sex
401041016,Multiple drug use,Males,3,Sex
401041016,Non-opioid analgesic and antirheumatic,Females,3,Sex
401041016,Non-opioid analgesic and antirheumatic,Males,2,Sex
401041016,Opioid,Females,5,Sex
401041016,Opioid,Males,5,Sex
401041016,Psychostimulants,Females,9,Sex
401041016,Psychostimulants,Males,13,Sex
401041016,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,4,Sex
401041016,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401041016,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,3,Sex
401041016,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,3,Sex
401051017,Alcohol,Females,18,Sex
401051017,Alcohol,Males,20,Sex
401051017,All drug-related,Females,31,Sex
401051017,All drug-related,Males,46,Sex
401051017,Cannabinoids,Females,3,Sex
401051017,Cannabinoids,Males,5,Sex
401051017,Hallucinogens,Females,1,Sex
401051017,Inhalants,Females,1,Sex
401051017,Multiple drug use,Males,5,Sex
401051017,Non-opioid analgesic and antirheumatic,Females,2,Sex
401051017,Non-opioid analgesic and antirheumatic,Males,1,Sex
401051017,Opioid,Females,3,Sex
401051017,Opioid,Males,3,Sex
401051017,Psychostimulants,Females,1,Sex
401051017,Psychostimulants,Males,6,Sex
401051017,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,2,Sex
401051017,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401051017,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,4,Sex
401051018,Alcohol,Females,4,Sex
401051018,Alcohol,Males,19,Sex
401051018,All drug-related,Females,19,Sex
401051018,All drug-related,Males,38,Sex
401051018,Anaesthetics,Males,1,Sex
401051018,Cannabinoids,Females,4,Sex
401051018,Cannabinoids,Males,2,Sex
401051018,Hallucinogens,Females,1,Sex
401051018,Inhalants,Females,1,Sex
401051018,Multiple drug use,Females,4,Sex
401051018,Multiple drug use,Males,1,Sex
401051018,Non-opioid analgesic and antirheumatic,Males,1,Sex
401051018,Opioid,Females,1,Sex
401051018,Opioid,Males,3,Sex
401051018,Psychostimulants,Females,2,Sex
401051018,Psychostimulants,Males,8,Sex
401051018,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
401051018,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401051019,Alcohol,Females,11,Sex
401051019,Alcohol,Males,20,Sex
401051019,All drug-related,Females,23,Sex
401051019,All drug-related,Males,37,Sex
401051019,Cannabinoids,Females,2,Sex
401051019,Cannabinoids,Males,3,Sex
401051019,Hallucinogens,Females,1,Sex
401051019,Hallucinogens,Males,4,Sex
401051019,Multiple drug use,Females,1,Sex
401051019,Multiple drug use,Males,1,Sex
401051019,Non-opioid analgesic and antirheumatic,Females,1,Sex
401051019,Non-opioid analgesic and antirheumatic,Males,1,Sex
401051019,Opioid,Females,3,Sex
401051019,Opioid,Males,3,Sex
401051019,Psychostimulants,Females,1,Sex
401051019,Psychostimulants,Males,3,Sex
401051019,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401051019,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,3,Sex
401051019,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,1,Sex
401061020,Alcohol,Females,9,Sex
401061020,Alcohol,Males,16,Sex
401061020,All drug-related,Females,21,Sex
401061020,All drug-related,Males,29,Sex
401061020,Analeptics and opioid receptor antagonists,Females,1,Sex
401061020,Cannabinoids,Females,1,Sex
401061020,Cannabinoids,Males,2,Sex
401061020,Multiple drug use,Females,1,Sex
401061020,Multiple drug use,Males,1,Sex
401061020,Non-opioid analgesic and antirheumatic,Females,1,Sex
401061020,Non-opioid analgesic and antirheumatic,Males,1,Sex
401061020,Opioid,Females,3,Sex
401061020,Opioid,Males,3,Sex
401061020,Other,Females,1,Sex
401061020,Psychostimulants,Females,3,Sex
401061020,Psychostimulants,Males,3,Sex
401061020,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
401061020,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
401061021,Alcohol,Females,8,Sex
401061021,Alcohol,Males,26,Sex
401061021,All drug-related,Females,28,Sex
401061021,All drug-related,Males,54,Sex
401061021,Cannabinoids,Females,2,Sex
401061021,Cannabinoids,Males,6,Sex
401061021,Hallucinogens,Females,2,Sex
401061021,Multiple drug use,Females,3,Sex
401061021,Multiple drug use,Males,4,Sex
401061021,Non-opioid analgesic and antirheumatic,Females,1,Sex
401061021,Non-opioid analgesic and antirheumatic,Males,2,Sex
401061021,Opioid,Females,3,Sex
401061021,Opioid,Males,3,Sex
401061021,Other,Females,1,Sex
401061021,Psychostimulants,Females,6,Sex
401061021,Psychostimulants,Males,9,Sex
401061021,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,2,Sex
401061021,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401061021,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,2,Sex
401061022,Alcohol,Females,10,Sex
401061022,Alcohol,Males,14,Sex
401061022,All drug-related,Females,29,Sex
401061022,All drug-related,Males,45,Sex
401061022,Cannabinoids,Females,1,Sex
401061022,Cannabinoids,Males,4,Sex
401061022,Hallucinogens,Females,1,Sex
401061022,Multiple drug use,Females,3,Sex
401061022,Multiple drug use,Males,4,Sex
401061022,Non-opioid analgesic and antirheumatic,Females,1,Sex
401061022,Non-opioid analgesic and antirheumatic,Males,2,Sex
401061022,Opioid,Females,5,Sex
401061022,Opioid,Males,4,Sex
401061022,Psychostimulants,Females,4,Sex
401061022,Psychostimulants,Males,9,Sex
401061022,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401061022,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,5,Sex
401061022,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401061022,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,3,Sex
401071023,Alcohol,Females,15,Sex
401071023,Alcohol,Males,29,Sex
401071023,All drug-related,Females,30,Sex
401071023,All drug-related,Males,59,Sex
401071023,Anaesthetics,Males,1,Sex
401071023,Cannabinoids,Males,6,Sex
401071023,Multiple drug use,Females,5,Sex
401071023,Multiple drug use,Males,4,Sex
401071023,Non-opioid analgesic and antirheumatic,Males,1,Sex
401071023,Opioid,Females,4,Sex
401071023,Opioid,Males,2,Sex
401071023,Other,Males,1,Sex
401071023,Psychostimulants,Females,5,Sex
401071023,Psychostimulants,Males,7,Sex
401071023,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
401071023,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
401071023,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,5,Sex
401071024,Alcohol,Females,3,Sex
401071024,Alcohol,Males,8,Sex
401071024,All drug-related,Females,8,Sex
401071024,All drug-related,Males,15,Sex
401071024,Cannabinoids,Females,2,Sex
401071024,Cannabinoids,Males,1,Sex
401071024,Hallucinogens,Males,1,Sex
401071024,Multiple drug use,Females,1,Sex
401071024,Multiple drug use,Males,1,Sex
401071024,Non-opioid analgesic and antirheumatic,Males,1,Sex
401071024,Opioid,Females,1,Sex
401071024,Psychostimulants,Males,2,Sex
401071024,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
401071024,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
402011025,Alcohol,Females,11,Sex
402011025,Alcohol,Males,25,Sex
402011025,All drug-related,Females,27,Sex
402011025,All drug-related,Males,52,Sex
402011025,Cannabinoids,Females,4,Sex
402011025,Cannabinoids,Males,7,Sex
402011025,Hallucinogens,Females,1,Sex
402011025,Multiple drug use,Males,2,Sex
402011025,Non-opioid analgesic and antirheumatic,Females,1,Sex
402011025,Non-opioid analgesic and antirheumatic,Males,1,Sex
402011025,Opioid,Females,2,Sex
402011025,Opioid,Males,1,Sex
402011025,Psychostimulants,Females,7,Sex
402011025,Psychostimulants,Males,10,Sex
402011025,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
402011025,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
402011025,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,5,Sex
402011026,Alcohol,Females,11,Sex
402011026,Alcohol,Males,24,Sex
402011026,All drug-related,Females,27,Sex
402011026,All drug-related,Males,42,Sex
402011026,Cannabinoids,Females,4,Sex
402011026,Cannabinoids,Males,2,Sex
402011026,Hallucinogens,Males,2,Sex
402011026,Inhalants,Males,1,Sex
402011026,Multiple drug use,Females,1,Sex
402011026,Multiple drug use,Males,2,Sex
402011026,Opioid,Females,2,Sex
402011026,Opioid,Males,2,Sex
402011026,Other,Males,2,Sex
402011026,Psychostimulants,Females,6,Sex
402011026,Psychostimulants,Males,2,Sex
402011026,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
402011026,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,2,Sex
402011026,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
402011026,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,3,Sex
402011027,Alcohol,Females,10,Sex
402011027,Alcohol,Males,7,Sex
402011027,All drug-related,Females,25,Sex
402011027,All drug-related,Males,17,Sex
402011027,Cannabinoids,Females,1,Sex
402011027,Cannabinoids,Males,2,Sex
402011027,Hallucinogens,Males,1,Sex
402011027,Multiple drug use,Females,2,Sex
402011027,Non-opioid analgesic and antirheumatic,Females,2,Sex
402011027,Non-opioid analgesic and antirheumatic,Males,1,Sex
402011027,Opioid,Females,3,Sex
402011027,Opioid,Males,1,Sex
402011027,Psychostimulants,Females,6,Sex
402011027,Psychostimulants,Males,2,Sex
402011027,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
402011027,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
402011027,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,2,Sex
402021028,Alcohol,Females,22,Sex
402021028,Alcohol,Males,32,Sex
402021028,All drug-related,Females,37,Sex
402021028,All drug-related,Males,69,Sex
402021028,Cannabinoids,Females,4,Sex
402021028,Cannabinoids,Males,5,Sex
402021028,Inhalants,Males,2,Sex
402021028,Multiple drug use,Females,1,Sex
402021028,Multiple drug use,Males,7,Sex
402021028,Non-opioid analgesic and antirheumatic,Females,1,Sex
402021028,Opioid,Females,4,Sex
402021028,Opioid,Males,6,Sex
402021028,Psychostimulants,Females,2,Sex
402021028,Psychostimulants,Males,10,Sex
402021028,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
402021028,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
402021028,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
402021028,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,4,Sex
402021029,Alcohol,Females,16,Sex
402021029,Alcohol,Males,22,Sex
402021029,All drug-related,Females,34,Sex
402021029,All drug-related,Males,50,Sex
402021029,Cannabinoids,Females,3,Sex
402021029,Cannabinoids,Males,5,Sex
402021029,Hallucinogens,Males,1,Sex
402021029,Multiple drug use,Females,3,Sex
402021029,Multiple drug use,Males,3,Sex
402021029,Non-opioid analgesic and antirheumatic,Females,1,Sex
402021029,Non-opioid analgesic and antirheumatic,Males,3,Sex
402021029,Opioid,Females,2,Sex
402021029,Opioid,Males,3,Sex
402021029,Other,Females,1,Sex
402021029,Psychostimulants,Females,4,Sex
402021029,Psychostimulants,Males,10,Sex
402021029,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
402021029,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
402021029,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
402021029,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,2,Sex
402021030,Alcohol,Females,14,Sex
402021030,Alcohol,Males,16,Sex
402021030,All drug-related,Females,23,Sex
402021030,All drug-related,Males,41,Sex
402021030,Cannabinoids,Females,2,Sex
402021030,Cannabinoids,Males,3,Sex
402021030,Hallucinogens,Males,2,Sex
402021030,Inhalants,Males,1,Sex
402021030,Multiple drug use,Males,2,Sex
402021030,Non-opioid analgesic and antirheumatic,Males,1,Sex
402021030,Opioid,Females,3,Sex
402021030,Opioid,Males,3,Sex
402021030,Other,Males,2,Sex
402021030,Psychostimulants,Females,2,Sex
402021030,Psychostimulants,Males,7,Sex
402021030,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
402021030,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,1,Sex
402021030,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,4,Sex
402021031,Alcohol,Females,6,Sex
402021031,Alcohol,Males,13,Sex
402021031,All drug-related,Females,18,Sex
402021031,All drug-related,Males,25,Sex
402021031,Cannabinoids,Females,2,Sex
402021031,Cannabinoids,Males,1,Sex
402021031,Multiple drug use,Females,1,Sex
402021031,Non-opioid analgesic and antirheumatic,Males,1,Sex
402021031,Psychostimulants,Females,7,Sex
402021031,Psychostimulants,Males,6,Sex
402021031,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,1,Sex
