indicator,drug_type,lhn,financial_year,year_start,count,mean_bed_days,group_by,sex,age_group,indigenous_status,seifa_quintile,remoteness,population,rate_per_100k,rate_lcl,rate_ucl
Alcohol and other drug-related hospitalisations,Alcohol,Eyre and Far North LHN,2021-22,2021,211,2.68,Total,Persons,All ages,All,All,All,55660,379.1,327.9,430.3
Alcohol and other drug-related hospitalisations,Alcohol,Eyre and Far North LHN,2022-23,2022,212,2.99,Total,Persons,All ages,All,All,All,56327,376.4,325.7,427.1
Alcohol and other drug-related hospitalisations,Alcohol,Eyre and Far North LHN,2023-24,2023,227,3.03,Total,Persons,All ages,All,All,All,57003,398.2,346.4,450.0
Alcohol and other drug-related hospitalisations,Alcohol,Eyre and Far North LHN,2024-25,2024,235,2.67,Total,Persons,All ages,All,All,All,57687,407.4,355.3,459.5
Alcohol and other drug-related hospitalisations,Alcohol,Flinders and Upper North LHN,2020-21,2020,271,2.97,Total,Persons,All ages,All,All,All,70000,387.1,341.0,433.2
Alcohol and other drug-related hospitalisations,Alcohol,Flinders and Upper North LHN,2021-22,2021,300,2.93,Total,Persons,All ages,All,All,All,70840,423.5,375.6,471.4
Alcohol and other drug-related hospitalisations,Alcohol,Flinders and Upper North LHN,2022-23,2022,300,2.94,Total,Persons,All ages,All,All,All,71690,418.5,371.1,465.9
Alcohol and other drug-related hospitalisations,Alcohol,Flinders and Upper North LHN,2023-24,2023,323,2.82,Total,Persons,All ages,All,All,All,72550,445.2,396.6,493.8
Alcohol and other drug-related hospitalisations,Alcohol,Flinders and Upper North LHN,2024-25,2024,309,2.79,Total,Persons,All ages,All,All,All,73420,420.9,374.0,467.8
Alcohol and other drug-related hospitalisations,Alcohol,Limestone Coast LHN,2020-21,2020,176,2.97,Total,Persons,All ages,All,All,All,65000,270.8,230.8,310.8
Alcohol and other drug-related hospitalisations,Alcohol,Limestone Coast LHN,2021-22,2021,182,3.48,Total,Persons,All ages,All,All,All,65780,276.7,236.5,316.9
Alcohol and other drug-related hospitalisations,Alcohol,Limestone Coast LHN,2022-23,2022,175,2.63,Total,Persons,All ages,All,All,All,66569,262.9,224.0,301.8
Alcohol and other drug-related hospitalisations,Alcohol,Limestone Coast LHN,2023-24,2023,153,2.95,Total,Persons,All ages,All,All,All,67368,227.1,191.1,263.1
Alcohol and other drug-related hospitalisations,Alcohol,Limestone Coast LHN,2024-25,2024,210,2.74,Total,Persons,All ages,All,All,All,68176,308.0,266.3,349.7
Alcohol and other drug-related hospitalisations,Alcohol,Northern Adelaide LHN,2020-21,2020,1405,2.9,Total,Persons,All ages,All,All,All,420000,334.5,317.0,352.0
Alcohol and other drug-related hospitalisations,Alcohol,Northern Adelaide LHN,2021-22,2021,1585,2.93,Total,Persons,All ages,All,All,All,425040,372.9,354.5,391.3
Alcohol and other drug-related hospitalisations,Alcohol,Northern Adelaide LHN,2022-23,2022,1595,3.04,Total,Persons,All ages,All,All,All,430140,370.8,352.6,389.0
Alcohol and other drug-related hospitalisations,Alcohol,Northern Adelaide LHN,2023-24,2023,1734,3.02,Total,Persons,All ages,All,All,All,435302,398.3,379.6,417.0
Alcohol and other drug-related hospitalisations,Alcohol,Northern Adelaide LHN,2024-25,2024,1672,3.04,Total,Persons,All ages,All,All,All,440525,379.5,361.3,397.7
Alcohol and other drug-related hospitalisations,Alcohol,Riverland Mallee Coorong LHN,2020-21,2020,198,3.14,Total,Persons,All ages,All,All,All,70000,282.9,243.5,322.3
Alcohol and other drug-related hospitalisations,Alcohol,Riverland Mallee Coorong LHN,2021-22,2021,228,3.3,Total,Persons,All ages,All,All,All,70840,321.9,280.1,363.7
Alcohol and other drug-related hospitalisations,Alcohol,Riverland Mallee Coorong LHN,2022-23,2022,221,3.02,Total,Persons,All ages,All,All,All,71690,308.3,267.7,348.9
Alcohol and other drug-related hospitalisations,Alcohol,Riverland Mallee Coorong LHN,2023-24,2023,247,3.19,Total,Persons,All ages,All,All,All,72550,340.5,298.0,383.0
Alcohol and other drug-related hospitalisations,Alcohol,Riverland Mallee Coorong LHN,2024-25,2024,245,3.28,Total,Persons,All ages,All,All,All,73420,333.7,291.9,375.5
Alcohol and other drug-related hospitalisations,Alcohol,South Australia (All LHNs),2020-21,2020,5400,2.93,Total,Persons,All ages,All,All,All,1810000,298.3,290.3,306.3
Alcohol and other drug-related hospitalisations,Alcohol,South Australia (All LHNs),2021-22,2021,6125,2.95,Total,Persons,All ages,All,All,All,1831720,334.4,326.0,342.8
Alcohol and other drug-related hospitalisations,Alcohol,South Australia (All LHNs),2022-23,2022,6089,2.89,Total,Persons,All ages,All,All,All,1853700,328.5,320.2,336.8
Alcohol and other drug-related hospitalisations,Alcohol,South Australia (All LHNs),2023-24,2023,6432,2.95,Total,Persons,All ages,All,All,All,1875945,342.9,334.5,351.3
Alcohol and other drug-related hospitalisations,Alcohol,South Australia (All LHNs),2024-25,2024,6582,3.01,Total,Persons,All ages,All,All,All,1898456,346.7,338.3,355.1
Alcohol and other drug-related hospitalisations,Alcohol,Southern Adelaide LHN,2020-21,2020,1052,2.91,Total,Persons,All ages,All,All,All,400000,263.0,247.1,278.9
Alcohol and other drug-related hospitalisations,Alcohol,Southern Adelaide LHN,2021-22,2021,1235,2.91,Total,Persons,All ages,All,All,All,404800,305.1,288.1,322.1
Alcohol and other drug-related hospitalisations,Alcohol,Southern Adelaide LHN,2022-23,2022,1201,2.8,Total,Persons,All ages,All,All,All,409657,293.2,276.6,309.8
Alcohol and other drug-related hospitalisations,Alcohol,Southern Adelaide LHN,2023-24,2023,1203,2.9,Total,Persons,All ages,All,All,All,414573,290.2,273.8,306.6
Alcohol and other drug-related hospitalisations,Alcohol,Southern Adelaide LHN,2024-25,2024,1325,2.96,Total,Persons,All ages,All,All,All,419548,315.8,298.8,332.8
Alcohol and other drug-related hospitalisations,Alcohol,Yorke and Northern LHN,2020-21,2020,211,2.96,Total,Persons,All ages,All,All,All,75000,281.3,243.3,319.3
Alcohol and other drug-related hospitalisations,Alcohol,Yorke and Northern LHN,2021-22,2021,252,2.79,Total,Persons,All ages,All,All,All,75900,332.0,291.0,373.0
Alcohol and other drug-related hospitalisations,Alcohol,Yorke and Northern LHN,2022-23,2022,231,2.91,Total,Persons,All ages,All,All,All,76810,300.7,261.9,339.5
Alcohol and other drug-related hospitalisations,Alcohol,Yorke and Northern LHN,2023-24,2023,248,2.84,Total,Persons,All ages,All,All,All,77732,319.0,279.3,358.7
Alcohol and other drug-related hospitalisations,Alcohol,Yorke and Northern LHN,2024-25,2024,239,3.2,Total,Persons,All ages,All,All,All,78665,303.8,265.3,342.3
Alcohol and other drug-related hospitalisations,All drug-related,Barossa Hills Fleurieu LHN,2020-21,2020,821,2.61,Total,Persons,All ages,All,All,All,165000,497.6,463.6,531.6
Alcohol and other drug-related hospitalisations,All drug-related,Barossa Hills Fleurieu LHN,2021-22,2021,937,2.55,Total,Persons,All ages,All,All,All,166980,561.1,525.2,597.0
Alcohol and other drug-related hospitalisations,All drug-related,Barossa Hills Fleurieu LHN,2022-23,2022,963,2.38,Total,Persons,All ages,All,All,All,168983,569.9,533.9,605.9
Alcohol and other drug-related hospitalisations,All drug-related,Barossa Hills Fleurieu LHN,2023-24,2023,1030,2.54,Total,Persons,All ages,All,All,All,171011,602.3,565.5,639.1
Alcohol and other drug-related hospitalisations,All drug-related,Barossa Hills Fleurieu LHN,2024-25,2024,971,2.51,Total,Persons,All ages,All,All,All,173063,561.1,525.8,596.4
Alcohol and other drug-related hospitalisations,All drug-related,Central Adelaide LHN,2020-21,2020,3390,2.54,Total,Persons,All ages,All,All,All,490000,691.8,668.5,715.1
Alcohol and other drug-related hospitalisations,All drug-related,Central Adelaide LHN,2021-22,2021,3724,2.56,Total,Persons,All ages,All,All,All,495880,751.0,726.9,775.1
Alcohol and other drug-related hospitalisations,All drug-related,Central Adelaide LHN,2022-23,2022,3921,2.48,Total,Persons,All ages,All,All,All,501830,781.3,756.8,805.8
Alcohol and other drug-related hospitalisations,All drug-related,Central Adelaide LHN,2023-24,2023,3967,2.54,Total,Persons,All ages,All,All,All,507852,781.1,756.8,805.4
Alcohol and other drug-related hospitalisations,All drug-related,Central Adelaide LHN,2024-25,2024,4180,2.59,Total,Persons,All ages,All,All,All,513946,813.3,788.6,838.0
Alcohol and other drug-related hospitalisations,All drug-related,Eyre and Far North LHN,2020-21,2020,426,2.52,Total,Persons,All ages,All,All,All,55000,774.5,700.9,848.1
Alcohol and other drug-related hospitalisations,All drug-related,Eyre and Far North LHN,2021-22,2021,497,2.26,Total,Persons,All ages,All,All,All,55660,892.9,814.4,971.4
Alcohol and other drug-related hospitalisations,All drug-related,Eyre and Far North LHN,2022-23,2022,484,2.51,Total,Persons,All ages,All,All,All,56327,859.3,782.7,935.9
Alcohol and other drug-related hospitalisations,All drug-related,Eyre and Far North LHN,2023-24,2023,546,2.38,Total,Persons,All ages,All,All,All,57003,957.8,877.5,1038.1
Alcohol and other drug-related hospitalisations,All drug-related,Eyre and Far North LHN,2024-25,2024,540,2.48,Total,Persons,All ages,All,All,All,57687,936.1,857.1,1015.1
Alcohol and other drug-related hospitalisations,All drug-related,Flinders and Upper North LHN,2020-21,2020,578,2.55,Total,Persons,All ages,All,All,All,70000,825.7,758.4,893.0
Alcohol and other drug-related hospitalisations,All drug-related,Flinders and Upper North LHN,2021-22,2021,657,2.54,Total,Persons,All ages,All,All,All,70840,927.4,856.5,998.3
Alcohol and other drug-related hospitalisations,All drug-related,Flinders and Upper North LHN,2022-23,2022,667,2.51,Total,Persons,All ages,All,All,All,71690,930.4,859.8,1001.0
Alcohol and other drug-related hospitalisations,All drug-related,Flinders and Upper North LHN,2023-24,2023,702,2.47,Total,Persons,All ages,All,All,All,72550,967.6,896.0,1039.2
Alcohol and other drug-related hospitalisations,All drug-related,Flinders and Upper North LHN,2024-25,2024,687,2.44,Total,Persons,All ages,All,All,All,73420,935.7,865.7,1005.7
Alcohol and other drug-related hospitalisations,All drug-related,Limestone Coast LHN,2020-21,2020,360,2.45,Total,Persons,All ages,All,All,All,65000,553.8,496.6,611.0
Alcohol and other drug-related hospitalisations,All drug-related,Limestone Coast LHN,2021-22,2021,388,3.13,Total,Persons,All ages,All,All,All,65780,589.8,531.1,648.5
Alcohol and other drug-related hospitalisations,All drug-related,Limestone Coast LHN,2022-23,2022,416,2.33,Total,Persons,All ages,All,All,All,66569,624.9,564.8,685.0
Alcohol and other drug-related hospitalisations,All drug-related,Limestone Coast LHN,2023-24,2023,395,2.65,Total,Persons,All ages,All,All,All,67368,586.3,528.5,644.1
Alcohol and other drug-related hospitalisations,All drug-related,Limestone Coast LHN,2024-25,2024,459,2.39,Total,Persons,All ages,All,All,All,68176,673.3,611.7,734.9
Alcohol and other drug-related hospitalisations,All drug-related,Northern Adelaide LHN,2020-21,2020,3128,2.51,Total,Persons,All ages,All,All,All,420000,744.8,718.7,770.9
Alcohol and other drug-related hospitalisations,All drug-related,Northern Adelaide LHN,2021-22,2021,3440,2.54,Total,Persons,All ages,All,All,All,425040,809.3,782.3,836.3
Alcohol and other drug-related hospitalisations,All drug-related,Northern Adelaide LHN,2022-23,2022,3673,2.54,Total,Persons,All ages,All,All,All,430140,853.9,826.3,881.5
Alcohol and other drug-related hospitalisations,All drug-related,Northern Adelaide LHN,2023-24,2023,3745,2.55,Total,Persons,All ages,All,All,All,435302,860.3,832.7,887.9
Alcohol and other drug-related hospitalisations,All drug-related,Northern Adelaide LHN,2024-25,2024,3773,2.62,Total,Persons,All ages,All,All,All,440525,856.5,829.2,883.8
Alcohol and other drug-related hospitalisations,All drug-related,Riverland Mallee Coorong LHN,2020-21,2020,451,2.63,Total,Persons,All ages,All,All,All,70000,644.3,584.8,703.8
Alcohol and other drug-related hospitalisations,All drug-related,Riverland Mallee Coorong LHN,2021-22,2021,505,2.76,Total,Persons,All ages,All,All,All,70840,712.9,650.7,775.1
Alcohol and other drug-related hospitalisations,All drug-related,Riverland Mallee Coorong LHN,2022-23,2022,483,2.43,Total,Persons,All ages,All,All,All,71690,673.7,613.6,733.8
Alcohol and other drug-related hospitalisations,All drug-related,Riverland Mallee Coorong LHN,2023-24,2023,566,2.66,Total,Persons,All ages,All,All,All,72550,780.2,715.9,844.5
Alcohol and other drug-related hospitalisations,All drug-related,Riverland Mallee Coorong LHN,2024-25,2024,553,2.85,Total,Persons,All ages,All,All,All,73420,753.2,690.4,816.0
Alcohol and other drug-related hospitalisations,All drug-related,South Australia (All LHNs),2020-21,2020,11960,2.54,Total,Persons,All ages,All,All,All,1810000,660.8,649.0,672.6
Alcohol and other drug-related hospitalisations,All drug-related,South Australia (All LHNs),2021-22,2021,13390,2.55,Total,Persons,All ages,All,All,All,1831720,731.0,718.6,743.4
Alcohol and other drug-related hospitalisations,All drug-related,South Australia (All LHNs),2022-23,2022,13791,2.48,Total,Persons,All ages,All,All,All,1853700,744.0,731.6,756.4
Alcohol and other drug-related hospitalisations,All drug-related,South Australia (All LHNs),2023-24,2023,14205,2.54,Total,Persons,All ages,All,All,All,1875945,757.2,744.7,769.7
Alcohol and other drug-related hospitalisations,All drug-related,South Australia (All LHNs),2024-25,2024,14631,2.57,Total,Persons,All ages,All,All,All,1898456,770.7,758.2,783.2
Alcohol and other drug-related hospitalisations,All drug-related,Southern Adelaide LHN,2020-21,2020,2328,2.55,Total,Persons,All ages,All,All,All,400000,582.0,558.4,605.6
Alcohol and other drug-related hospitalisations,All drug-related,Southern Adelaide LHN,2021-22,2021,2729,2.49,Total,Persons,All ages,All,All,All,404800,674.2,648.9,699.5
Alcohol and other drug-related hospitalisations,All drug-related,Southern Adelaide LHN,2022-23,2022,2677,2.46,Total,Persons,All ages,All,All,All,409657,653.5,628.7,678.3
Alcohol and other drug-related hospitalisations,All drug-related,Southern Adelaide LHN,2023-24,2023,2748,2.53,Total,Persons,All ages,All,All,All,414573,662.9,638.1,687.7
Alcohol and other drug-related hospitalisations,All drug-related,Southern Adelaide LHN,2024-25,2024,2938,2.52,Total,Persons,All ages,All,All,All,419548,700.3,675.0,725.6
Alcohol and other drug-related hospitalisations,All drug-related,Yorke and Northern LHN,2020-21,2020,478,2.56,Total,Persons,All ages,All,All,All,75000,637.3,580.2,694.4
Alcohol and other drug-related hospitalisations,All drug-related,Yorke and Northern LHN,2021-22,2021,513,2.5,Total,Persons,All ages,All,All,All,75900,675.9,617.4,734.4
Alcohol and other drug-related hospitalisations,All drug-related,Yorke and Northern LHN,2022-23,2022,507,2.55,Total,Persons,All ages,All,All,All,76810,660.1,602.6,717.6
Alcohol and other drug-related hospitalisations,All drug-related,Yorke and Northern LHN,2023-24,2023,506,2.7,Total,Persons,All ages,All,All,All,77732,651.0,594.3,707.7
Alcohol and other drug-related hospitalisations,All drug-related,Yorke and Northern LHN,2024-25,2024,530,2.72,Total,Persons,All ages,All,All,All,78665,673.7,616.3,731.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Barossa Hills Fleurieu LHN,2020-21,2020,4,1.5,Total,Persons,All ages,All,All,All,165000,2.4,0.0,4.8
Alcohol and other drug-related hospitalisations,Anaesthetics,Barossa Hills Fleurieu LHN,2021-22,2021,4,1.0,Total,Persons,All ages,All,All,All,166980,2.4,0.1,4.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Barossa Hills Fleurieu LHN,2022-23,2022,6,1.0,Total,Persons,All ages,All,All,All,168983,3.6,0.8,6.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Barossa Hills Fleurieu LHN,2023-24,2023,3,1.67,Total,Persons,All ages,All,All,All,171011,1.8,0.0,3.8
Alcohol and other drug-related hospitalisations,Anaesthetics,Barossa Hills Fleurieu LHN,2024-25,2024,5,2.0,Total,Persons,All ages,All,All,All,173063,2.9,0.4,5.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Central Adelaide LHN,2020-21,2020,10,1.8,Total,Persons,All ages,All,All,All,490000,2.0,0.7,3.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Central Adelaide LHN,2021-22,2021,14,1.57,Total,Persons,All ages,All,All,All,495880,2.8,1.3,4.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Central Adelaide LHN,2022-23,2022,23,1.26,Total,Persons,All ages,All,All,All,501830,4.6,2.7,6.5
Alcohol and other drug-related hospitalisations,Anaesthetics,Central Adelaide LHN,2023-24,2023,17,1.35,Total,Persons,All ages,All,All,All,507852,3.3,1.7,4.9
Alcohol and other drug-related hospitalisations,Anaesthetics,Central Adelaide LHN,2024-25,2024,21,1.67,Total,Persons,All ages,All,All,All,513946,4.1,2.4,5.8
Alcohol and other drug-related hospitalisations,Anaesthetics,Eyre and Far North LHN,2020-21,2020,4,1.75,Total,Persons,All ages,All,All,All,55000,7.3,0.2,14.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Eyre and Far North LHN,2021-22,2021,6,1.83,Total,Persons,All ages,All,All,All,55660,10.8,2.2,19.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Eyre and Far North LHN,2022-23,2022,3,1.0,Total,Persons,All ages,All,All,All,56327,5.3,0.0,11.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Eyre and Far North LHN,2023-24,2023,1,3.0,Total,Persons,All ages,All,All,All,57003,1.8,0.0,5.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Eyre and Far North LHN,2024-25,2024,2,1.0,Total,Persons,All ages,All,All,All,57687,3.5,0.0,8.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Flinders and Upper North LHN,2020-21,2020,3,1.0,Total,Persons,All ages,All,All,All,70000,4.3,0.0,9.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Flinders and Upper North LHN,2021-22,2021,2,1.5,Total,Persons,All ages,All,All,All,70840,2.8,0.0,6.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Flinders and Upper North LHN,2022-23,2022,5,1.6,Total,Persons,All ages,All,All,All,71690,7.0,0.9,13.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Flinders and Upper North LHN,2023-24,2023,2,4.0,Total,Persons,All ages,All,All,All,72550,2.8,0.0,6.6
Alcohol and other drug-related hospitalisations,Anaesthetics,Flinders and Upper North LHN,2024-25,2024,3,1.0,Total,Persons,All ages,All,All,All,73420,4.1,0.0,8.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Limestone Coast LHN,2020-21,2020,3,1.0,Total,Persons,All ages,All,All,All,65000,4.6,0.0,9.8
Alcohol and other drug-related hospitalisations,Anaesthetics,Limestone Coast LHN,2021-22,2021,1,1.0,Total,Persons,All ages,All,All,All,65780,1.5,0.0,4.5
Alcohol and other drug-related hospitalisations,Anaesthetics,Limestone Coast LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,66569,1.5,0.0,4.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Limestone Coast LHN,2023-24,2023,2,1.0,Total,Persons,All ages,All,All,All,67368,3.0,0.0,7.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Limestone Coast LHN,2024-25,2024,2,1.5,Total,Persons,All ages,All,All,All,68176,2.9,0.0,7.0
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2020-21,2020,13,1.46,Total,Persons,All ages,All,All,All,420000,3.1,1.4,4.8
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2021-22,2021,23,1.96,Total,Persons,All ages,All,All,All,425040,5.4,3.2,7.6
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2022-23,2022,18,2.11,Total,Persons,All ages,All,All,All,430140,4.2,2.3,6.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2023-24,2023,22,1.55,Total,Persons,All ages,All,All,All,435302,5.1,3.0,7.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2024-25,2024,26,1.88,Total,Persons,All ages,All,All,All,440525,5.9,3.6,8.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2020-21,2020,1,1.0,Total,Persons,All ages,All,All,All,70000,1.4,0.0,4.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2021-22,2021,1,1.0,Total,Persons,All ages,All,All,All,70840,1.4,0.0,4.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2022-23,2022,3,1.0,Total,Persons,All ages,All,All,All,71690,4.2,0.0,8.9
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,72550,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2024-25,2024,4,1.0,Total,Persons,All ages,All,All,All,73420,5.4,0.1,10.7
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2020-21,2020,47,1.53,Total,Persons,All ages,All,All,All,1810000,2.6,1.9,3.3
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2021-22,2021,65,1.63,Total,Persons,All ages,All,All,All,1831720,3.5,2.6,4.4
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2022-23,2022,71,1.58,Total,Persons,All ages,All,All,All,1853700,3.8,2.9,4.7
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2023-24,2023,70,1.57,Total,Persons,All ages,All,All,All,1875945,3.7,2.8,4.6
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2024-25,2024,82,1.77,Total,Persons,All ages,All,All,All,1898456,4.3,3.4,5.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2020-21,2020,9,1.67,Total,Persons,All ages,All,All,All,400000,2.2,0.7,3.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2021-22,2021,14,1.36,Total,Persons,All ages,All,All,All,404800,3.5,1.7,5.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2022-23,2022,9,2.33,Total,Persons,All ages,All,All,All,409657,2.2,0.8,3.6
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2023-24,2023,18,1.61,Total,Persons,All ages,All,All,All,414573,4.3,2.3,6.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2024-25,2024,16,2.25,Total,Persons,All ages,All,All,All,419548,3.8,1.9,5.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2022-23,2022,3,1.0,Total,Persons,All ages,All,All,All,76810,3.9,0.0,8.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2023-24,2023,4,1.25,Total,Persons,All ages,All,All,All,77732,5.1,0.1,10.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2024-25,2024,3,1.0,Total,Persons,All ages,All,All,All,78665,3.8,0.0,8.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2020-21,2020,2,2.0,Total,Persons,All ages,All,All,All,165000,1.2,0.0,2.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2021-22,2021,1,1.0,Total,Persons,All ages,All,All,All,166980,0.6,0.0,1.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2022-23,2022,3,1.0,Total,Persons,All ages,All,All,All,168983,1.8,0.0,3.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2023-24,2023,3,2.33,Total,Persons,All ages,All,All,All,171011,1.8,0.0,3.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2024-25,2024,5,1.6,Total,Persons,All ages,All,All,All,173063,2.9,0.4,5.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2020-21,2020,7,1.71,Total,Persons,All ages,All,All,All,490000,1.4,0.3,2.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2021-22,2021,11,1.64,Total,Persons,All ages,All,All,All,495880,2.2,0.9,3.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2022-23,2022,10,1.7,Total,Persons,All ages,All,All,All,501830,2.0,0.8,3.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2023-24,2023,15,2.47,Total,Persons,All ages,All,All,All,507852,3.0,1.5,4.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2024-25,2024,14,1.86,Total,Persons,All ages,All,All,All,513946,2.7,1.3,4.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2020-21,2020,1,1.0,Total,Persons,All ages,All,All,All,55000,1.8,0.0,5.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2021-22,2021,3,2.0,Total,Persons,All ages,All,All,All,55660,5.4,0.0,11.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,57003,1.8,0.0,5.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2024-25,2024,3,1.33,Total,Persons,All ages,All,All,All,57687,5.2,0.0,11.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2020-21,2020,4,1.25,Total,Persons,All ages,All,All,All,70000,5.7,0.1,11.3
