area_code,area_name,population,seifa_quintile,remoteness,drug_type,episodes,rate_per_100k,financial_year
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Alcohol,46,467.8,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Psychostimulants,16,162.7,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Opioid,11,111.9,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Hallucinogens,2,20.3,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Multiple drug use,8,81.4,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",7,71.2,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Non-opioid analgesic and antirheumatic,3,30.5,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Cannabinoids,11,111.9,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Other,2,20.3,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",8,81.4,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Steroids or hormones,0,0.0,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Inhalants,0,0.0,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Anaesthetics,1,10.2,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Analeptics and opioid receptor antagonists,1,10.2,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia,All drug-related,116,1179.7,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Alcohol,22,394.3,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Psychostimulants,5,89.6,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Opioid,7,125.5,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Hallucinogens,1,17.9,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Multiple drug use,4,71.7,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",4,71.7,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Non-opioid analgesic and antirheumatic,0,0.0,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Cannabinoids,6,107.5,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Other,1,17.9,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",7,125.5,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Steroids or hormones,0,0.0,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Inhalants,0,0.0,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Anaesthetics,0,0.0,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,Androgens and anabolic congeners,1,17.9,2024-25
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia,All drug-related,58,1039.6,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Alcohol,61,448.4,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Psychostimulants,23,169.1,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Opioid,10,73.5,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Hallucinogens,0,0.0,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Multiple drug use,9,66.2,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",7,51.5,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Non-opioid analgesic and antirheumatic,3,22.1,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Cannabinoids,16,117.6,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Other,2,14.7,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",8,58.8,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Steroids or hormones,0,0.0,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Inhalants,2,14.7,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Anaesthetics,0,0.0,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia,All drug-related,141,1036.5,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Alcohol,57,437.2,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Psychostimulants,18,138.1,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Opioid,8,61.4,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Hallucinogens,2,15.3,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Multiple drug use,6,46.0,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",4,30.7,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Non-opioid analgesic and antirheumatic,6,46.0,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Cannabinoids,7,53.7,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Other,1,7.7,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",10,76.7,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Steroids or hormones,0,0.0,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Inhalants,1,7.7,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Anaesthetics,3,23.0,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia,All drug-related,123,943.4,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Alcohol,52,540.0,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Psychostimulants,14,145.4,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Opioid,7,72.7,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Hallucinogens,2,20.8,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Multiple drug use,5,51.9,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",1,10.4,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Non-opioid analgesic and antirheumatic,2,20.8,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Cannabinoids,5,51.9,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Other,0,0.0,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",10,103.8,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Steroids or hormones,0,0.0,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Inhalants,1,10.4,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Anaesthetics,2,20.8,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401031013,Toorak Gardens,9630,Q4,Very Remote Australia,All drug-related,101,1048.8,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Alcohol,59,534.8,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Psychostimulants,17,154.1,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Opioid,14,126.9,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Hallucinogens,0,0.0,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Multiple drug use,10,90.6,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",2,18.1,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Non-opioid analgesic and antirheumatic,2,18.1,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Cannabinoids,10,90.6,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Other,0,0.0,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",9,81.6,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Steroids or hormones,0,0.0,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Inhalants,1,9.1,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Anaesthetics,0,0.0,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,Androgens and anabolic congeners,0,0.0,2024-25
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia,All drug-related,124,1124.0,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Alcohol,39,476.7,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Psychostimulants,8,97.8,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Opioid,6,73.3,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Hallucinogens,0,0.0,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Multiple drug use,6,73.3,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",7,85.6,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Non-opioid analgesic and antirheumatic,3,36.7,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Cannabinoids,12,146.7,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Other,3,36.7,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",8,97.8,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Steroids or hormones,0,0.0,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Inhalants,1,12.2,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Anaesthetics,0,0.0,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,Androgens and anabolic congeners,0,0.0,2024-25
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia,All drug-related,93,1136.8,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Alcohol,64,537.4,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Psychostimulants,22,184.7,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Opioid,10,84.0,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Hallucinogens,3,25.2,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Multiple drug use,5,42.0,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",5,42.0,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Non-opioid analgesic and antirheumatic,5,42.0,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Cannabinoids,11,92.4,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Other,0,0.0,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",6,50.4,2024-25
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia,Steroids or hormones,0,0.0,2024-25
